step,gaussian_node,categorical_node,input_raw,input,index,used_
10,1,1,1,C,346,TRUE
11,1,1,1,C,347,TRUE
12,1,1,1,C,348,TRUE
13,1,1,1,C,349,TRUE
14,1,1,1,C,350,TRUE
15,1,1,1,C,351,TRUE
0,2,1,1,C,352,TRUE
1,2,1,1,C,353,TRUE
2,2,1,1,C,354,TRUE
3,2,1,1,C,355,TRUE
4,2,1,1,C,356,TRUE
5,2,1,1,C,357,TRUE
6,2,1,1,C,358,TRUE
7,2,1,1,C,359,TRUE
8,2,1,1,C,360,TRUE
9,2,1,1,C,361,TRUE
10,2,1,1,C,362,TRUE
11,2,1,1,C,363,TRUE
12,2,1,1,C,364,TRUE
13,2,1,1,C,365,TRUE
14,2,1,1,C,366,TRUE
15,2,1,1,C,367,TRUE
0,3,1,1,C,368,TRUE
1,3,1,1,C,369,TRUE
2,3,1,1,C,370,TRUE
3,3,1,1,C,371,TRUE
4,3,1,1,C,372,TRUE
5,3,1,1,C,373,TRUE
6,3,1,1,C,374,TRUE
7,3,1,1,C,375,TRUE
8,3,1,1,C,376,TRUE
9,3,1,1,C,377,TRUE
10,3,1,1,C,378,TRUE
11,3,1,1,C,379,TRUE
12,3,1,1,C,380,TRUE
13,3,1,1,C,381,TRUE
14,3,1,1,C,382,TRUE
15,3,1,1,C,383,TRUE
0,0,2,1,C,384,TRUE
1,0,2,1,C,385,TRUE
2,0,2,1,C,386,TRUE
3,0,2,1,C,387,TRUE
4,0,2,1,C,388,TRUE
5,0,2,1,C,389,TRUE
6,0,2,1,C,390,TRUE
7,0,2,1,C,391,TRUE
8,0,2,1,C,392,TRUE
9,0,2,1,C,393,TRUE
10,0,2,1,C,394,TRUE
11,0,2,1,C,395,TRUE
12,0,2,1,C,396,TRUE
13,0,2,1,C,397,TRUE
14,0,2,1,C,398,TRUE
15,0,2,1,C,399,TRUE
0,1,2,1,C,400,TRUE
1,1,2,1,C,401,TRUE
2,1,2,1,C,402,TRUE
3,1,2,1,C,403,TRUE
4,1,2,1,C,404,TRUE
5,1,2,1,C,405,TRUE
6,1,2,1,C,406,TRUE
7,1,2,1,C,407,TRUE
8,1,2,1,C,408,TRUE
9,1,2,1,C,409,TRUE
10,1,2,1,C,410,TRUE
11,1,2,1,C,411,TRUE
12,1,2,1,C,412,TRUE
13,1,2,1,C,413,TRUE
14,1,2,1,C,414,TRUE
15,1,2,1,C,415,TRUE
0,2,2,1,C,416,TRUE
1,2,2,1,C,417,TRUE
2,2,2,1,C,418,TRUE
3,2,2,1,C,419,TRUE
4,2,2,1,C,420,TRUE
