,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
49,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,3,BL21,239,20.232143,Training_ManhattanDist-Mean,0,TRUE
50,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,1,3,C,479,23.34518,Training_ManhattanDist-Mean,1,TRUE
51,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,2,3,Crooks,750,19.242687,Training_ManhattanDist-Mean,2,TRUE
52,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,1,DH5a,879,21.451927,Training_ManhattanDist-Mean,3,TRUE
53,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,4,2,1,MG1655,1124,15.037086,Training_ManhattanDist-Mean,4,TRUE
54,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,0,3,2,W,1456,17.093002,Training_ManhattanDist-Mean,5,TRUE
55,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,7,1,1,W3110,1623,18.53978,Training_ManhattanDist-Mean,6,TRUE
56,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,0,2,BL21,136,87.97691,Training_PercentDifference-Mean,0,TRUE
57,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,6,1,2,C,406,88.285645,Training_PercentDifference-Mean,1,TRUE
58,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,13,1,2,Crooks,669,87.89113,Training_PercentDifference-Mean,2,TRUE
59,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,1,2,DH5a,920,88.57907,Training_PercentDifference-Mean,3,TRUE
